"User","Print result [success canceled failed]","Start Datetime [dd.mm.yyyy hh:mm]","End Datetime [dd.mm.yyyy hh:mm]","Duration","File Name","File Path","File Size [bytes]","Layers [current / total]","Height [current / total]","Note","Temperatures [bed:temp toolX:temp]","Spool Vendor","Spool Name","Material","Diameter [mm]","Density [g/cm3]","Used Length [mm]","Calculated Length [mm]","Used Weight [g]","Used Filament Cost"
"santanig5","success","18.04.2021 07:34","18.04.2021 08:09","34m34s","Omniwheel_50mm_Part_C.gcode","Omniwheel_50mm_Part_C.gcode","1447911","34 / 34","8.8 / 6.6","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1185.99","-","-"
"santanig5","success","18.04.2021 07:34","18.04.2021 08:09","34m34s","Omniwheel_50mm_Part_C.gcode","Omniwheel_50mm_Part_C.gcode","1447911","34 / 34","8.8 / 6.6","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1185.99","-","-"
"santanig5","success","18.04.2021 06:50","18.04.2021 07:25","35m14s","Omniwheel_50mm_Part_B(2).gcode","Omniwheel_50mm_Part_B(2).gcode","1441002","34 / 34","8.8 / 6.6","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1164.02","-","-"
"santanig5","success","18.04.2021 06:50","18.04.2021 07:25","35m14s","Omniwheel_50mm_Part_B(2).gcode","Omniwheel_50mm_Part_B(2).gcode","1441002","34 / 34","8.8 / 6.6","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1164.02","-","-"
"santanig5","success","17.04.2021 19:44","18.04.2021 02:57","7h12m43s","Omniwheel_Parts_x2.gcode","Omniwheel_Parts_x2.gcode","23002510","100 / 100","22.0 / 19.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","14742.14","-","-"
"santanig5","success","17.04.2021 19:44","18.04.2021 02:57","7h12m43s","Omniwheel_Parts_x2.gcode","Omniwheel_Parts_x2.gcode","23002510","100 / 100","22.0 / 19.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","14742.14","-","-"
"santanig5","success","17.04.2021 17:11","17.04.2021 18:09","57m31s","Dome_Axle_with_6.76mm_hole.gcode","Dome_Axle_with_6.76mm_hole.gcode","1546878","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1143.48","-","-"
"santanig5","success","17.04.2021 17:11","17.04.2021 18:09","57m31s","Dome_Axle_with_6.76mm_hole.gcode","Dome_Axle_with_6.76mm_hole.gcode","1546878","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1143.48","-","-"
"santanig5","success","17.04.2021 16:08","17.04.2021 17:05","57m19s","Dome_Axle_with_6.77mm_hole.gcode","Dome_Axle_with_6.77mm_hole.gcode","1546821","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1142.26","-","-"
"santanig5","success","17.04.2021 16:08","17.04.2021 17:05","57m19s","Dome_Axle_with_6.77mm_hole.gcode","Dome_Axle_with_6.77mm_hole.gcode","1546821","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1142.26","-","-"
"santanig5","success","17.04.2021 14:24","17.04.2021 15:23","58m53s","Dome_Axle_with_6.75mm_hole.gcode","Dome_Axle_with_6.75mm_hole.gcode","1547388","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1144.43","-","-"
"santanig5","success","17.04.2021 14:24","17.04.2021 15:23","58m53s","Dome_Axle_with_6.75mm_hole.gcode","Dome_Axle_with_6.75mm_hole.gcode","1547388","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1144.43","-","-"
"santanig5","success","17.04.2021 11:19","17.04.2021 12:18","58m43s","Dome_Axle_with_6.7mm_hole.gcode","Dome_Axle_with_6.7mm_hole.gcode","1547217","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1148.90","-","-"
"santanig5","success","17.04.2021 11:19","17.04.2021 12:18","58m43s","Dome_Axle_with_6.7mm_hole.gcode","Dome_Axle_with_6.7mm_hole.gcode","1547217","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1148.90","-","-"
"santanig5","success","17.04.2021 09:23","17.04.2021 10:20","57m31s","Dome_Axle_with_6.8mm_hole.gcode","Dome_Axle_with_6.8mm_hole.gcode","1548010","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1139.17","-","-"
"santanig5","success","17.04.2021 09:23","17.04.2021 10:20","57m31s","Dome_Axle_with_6.8mm_hole.gcode","Dome_Axle_with_6.8mm_hole.gcode","1548010","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1139.17","-","-"
